Fundamental Frequency,RMS Energy,Spectral Centroid,Spectral Bandwidth,Spectral Flatness,Zero-Crossing Rate,Formant 1,Harmonics-to-Noise Ratio,Entropy of the Audio Signal,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,Chroma1,Chroma2,Chroma3,Chroma4,Chroma5,Chroma6,Chroma7,Chroma8,Chroma9,Chroma10,Chroma11,Chroma12,Screaming
264.2817889,0.284688443,2710.203023,2791.133096,0.004592417,0.070566899,944.021757,-21.49590633,5.020853996,-163.4348602,118.6908035,-91.81115723,-28.72353554,-47.76886368,-3.61147809,0.900355756,-11.80548859,-8.255625725,7.817736626,-4.811094284,3.480895996,0.677724659,0.18025583,0.259174436,0.319233835,0.194262519,0.197500244,0.235151216,0.26030007,0.337564141,0.314623117,0.420127898,0.337195545,0.208097279,1
66.92971265,0.114765108,882.1667851,1708.515418,6.28E-05,0.012007074,916.4095821,-126.5921268,3.819479465,-313.3275452,165.4202728,11.14073849,39.90924835,32.79944611,2.912414074,18.41187477,28.61528969,8.134838104,9.304834366,16.31437683,4.595454693,0.015632736,0.771622121,0.74793905,0.760972381,0.782098532,0.801668584,0.768725455,0.73343569,0.723839343,0.740893185,0.734883547,0.728538632,0.752851844,0
264.2817889,0.284688443,2710.203023,2791.133096,0.004592417,0.070566899,944.021757,-21.49590633,5.020853996,-163.4348602,118.6908035,-91.81115723,-28.72353554,-47.76886368,-3.61147809,0.900355756,-11.80548859,-8.255625725,7.817736626,-4.811094284,3.480895996,0.677724659,0.18025583,0.259174436,0.319233835,0.194262519,0.197500244,0.235151216,0.26030007,0.337564141,0.314623117,0.420127898,0.337195545,0.208097279,1
66.92971265,0.114765108,882.1667851,1708.515418,6.28E-05,0.012007074,916.4095821,-126.5921268,3.819479465,-313.3275452,165.4202728,11.14073849,39.90924835,32.79944611,2.912414074,18.41187477,28.61528969,8.134838104,9.304834366,16.31437683,4.595454693,0.015632736,0.771622121,0.74793905,0.760972381,0.782098532,0.801668584,0.768725455,0.73343569,0.723839343,0.740893185,0.734883547,0.728538632,0.752851844,0
639.5146406,0.058881935,3586.431335,2929.852848,0.006078257,0.09809978,1155.766779,-61.43058491,5.454209805,-350.3635559,58.7984581,-124.8264923,-2.084277391,-17.15766144,6.436388493,10.42077255,10.73068237,-5.185826778,-5.187787533,-1.699120045,7.964499474,6.932037354,0.275478214,0.24117671,0.232051596,0.242133662,0.401095271,0.524659276,0.619746625,0.581264853,0.491194814,0.43748042,0.344641864,0.32334879,1
520.1784263,0.054083116,3624.317314,3560.786835,0.015216417,0.084666761,1246.195103,-90.55132351,5.4512887,-393.0758057,71.35346985,-73.49816132,-13.45318222,-45.06195068,3.806878805,4.273435593,6.166790485,3.161821842,-3.823121309,-3.76300621,-0.860114872,4.898971081,0.400860608,0.424060762,0.415837526,0.402736485,0.393754542,0.386152148,0.314808458,0.368678778,0.425091684,0.440765709,0.358995289,0.360309899,1
476.2552611,0.274265498,2481.563871,2906.738638,0.001302653,0.055727988,820.1084113,-35.57568809,5.073111057,-144.4837494,125.803772,-64.59083557,-18.78426743,-28.05747223,9.480794907,-5.752084255,6.056005478,-4.887177944,-0.232994989,-8.78384304,2.119449139,5.745632648,0.219124451,0.290407002,0.344967216,0.3380768,0.442741543,0.462290913,0.499804616,0.42820999,0.365284711,0.352739394,0.35766691,0.250241727,1
401.7247603,0.036140908,1889.971909,2172.864485,0.002211442,0.046834585,731.5564695,-107.5342685,4.506441116,-454.0067139,127.2362518,-38.17121887,-32.80266953,-24.66098785,-20.00027466,-2.741912365,-1.386007667,1.484333634,10.08824062,16.25427818,18.2267971,14.66627598,0.055421319,0.117594421,0.124036223,0.072928414,0.086109206,0.189957187,0.579298973,0.740226209,0.671197951,0.450215518,0.315315425,0.13376008,1
354.720077,0.040046059,1558.908696,1755.217412,0.000474255,0.045087719,1026.337295,-98.075742,4.595134735,-403.8077087,156.8804932,-43.85623932,-35.31067657,-11.85161495,1.954936028,0.602363169,-2.057825565,4.022342682,-1.502671719,-3.35782361,-1.960274577,3.217787743,0.28143245,0.368816197,0.410702914,0.448230326,0.593019307,0.563334167,0.371068567,0.321481824,0.362657189,0.411406159,0.506272376,0.370702058,1
404.4595911,0.065201558,1431.067126,1484.188042,7.18E-05,0.044602741,758.691584,-59.56659254,4.543329716,-328.4628601,168.1683197,-46.25928116,-31.00867462,-19.22393799,-18.66661835,-12.54371166,-18.46401596,-8.622785568,4.217509747,15.93937874,18.15807915,12.17907143,0.09480641,0.124028444,0.101074249,0.2033232,0.28499496,0.252196878,0.379452884,0.632063866,0.78672874,0.455697387,0.220639244,0.09530814,1
379.7611903,0.365316302,2340.374013,3156.415676,0.001313539,0.039353974,961.5806875,-65.08994294,4.994524956,-151.7237854,124.9557343,-33.75124741,-2.771443367,-26.02192307,1.112511277,-4.140950203,10.20166397,-1.506783009,7.449735641,2.564252138,15.64851761,7.055047512,0.298381209,0.24254626,0.278180659,0.359514773,0.446876794,0.433947921,0.362392902,0.424684674,0.59519738,0.65473783,0.358135313,0.333961606,1
408.7868826,0.042438194,1430.695185,1725.405917,0.000205204,0.042713612,852.8876123,-114.9030188,4.495937824,-402.9785461,143.4944458,-26.36800385,-32.8299408,-26.79031563,-19.06712723,-7.152902603,-4.188603401,0.098532185,2.454762459,11.41380692,17.14549065,12.0976038,0.118591212,0.098335139,0.108588606,0.148043707,0.333559334,0.297314435,0.25765121,0.310085207,0.496582776,0.854445338,0.489962697,0.219733343,1
715.551541,0.340941221,5622.222577,5186.397879,0.012288527,0.076379025,1356.737504,-8.841539961,5.604728699,-98.57030487,30.37382126,-35.4878273,-3.415752411,-6.960026264,20.10372353,26.06755829,18.02741241,-2.320604324,-4.058728695,-2.1735847,3.03246665,18.63551521,0.135864019,0.137156069,0.208121583,0.401038021,0.427596927,0.306574166,0.315672487,0.321959645,0.311506331,0.162449747,0.12848936,0.132164434,1
105.364275,0.06756258,2993.044407,2406.5649,0.000644936,0.093101708,947.960111,-73.69729647,5.239092827,-286.0294189,118.9215851,-85.54201508,8.351449013,-45.34235001,-28.970541,4.067432404,8.573135376,-6.266453266,-9.559319496,5.969071388,-4.379340172,5.063230991,0.290215194,0.278038651,0.34274435,0.417415142,0.579660892,0.526068687,0.410305083,0.366526604,0.367158234,0.380816013,0.284891605,0.250216037,1
119.2240001,0.150231674,2353.776331,2562.005246,0.000551643,0.051693871,779.2897612,-25.97833379,5.028778553,-209.8817139,131.717804,-62.34661102,15.87226486,-48.15666962,-29.33491516,-19.25099564,6.499873638,-9.321370125,-19.01051331,-6.473425865,-5.044194221,3.605126619,0.167513162,0.326332331,0.683730304,0.683144629,0.460459858,0.340323389,0.29083553,0.21633932,0.272772014,0.348646432,0.200829715,0.1400861,1
600.8962465,0.094743259,2656.259593,2528.530254,0.001105738,0.065388637,1323.625075,-10.08852197,4.267338753,-331.0275879,94.04123688,-64.30567169,15.19907475,7.661838055,2.569622993,37.03254318,20.95324135,3.154669523,5.535045147,-18.78023529,-22.1694603,-0.741619289,0.071427219,0.409515083,0.648691595,0.328344703,0.188204646,0.144725427,0.154535383,0.066603668,0.041340861,0.041162323,0.039821491,0.040086724,1
149.8232593,0.076351926,3200.550048,4094.108698,0.005600386,0.047045548,1186.740868,-129.3880133,5.300614357,-406.5435791,72.86128235,-27.39612961,8.454275131,-19.37218857,1.960179925,2.115494251,3.482135773,1.623540282,1.572558641,0.309882134,0.107395008,7.860223293,0.531868637,0.520527482,0.539075375,0.62092191,0.645392895,0.694796979,0.700603962,0.685213685,0.663244963,0.63214463,0.685856581,0.577082336,1
555.3761538,0.057891574,4080.606934,4066.530817,0.026819728,0.092937589,800.893412,-111.8693013,5.527183533,-374.8819885,113.0926056,-77.66674805,-16.87786293,2.827597857,-20.15052223,-2.242619753,6.113349915,2.748876333,5.471247673,-0.425582319,-3.961214304,3.560953856,0.521029592,0.639552414,0.67978394,0.498880893,0.397459507,0.391961873,0.397385687,0.355483353,0.321750075,0.342549622,0.332530469,0.425834626,1
447.2337097,0.042221189,3405.833905,4202.989353,0.007957482,0.058564278,426.9416716,-110.8980041,4.678119183,-478.5968628,13.01431751,-49.31444168,-18.48651314,-2.168904781,10.90301323,15.30646896,15.59550285,5.289685249,-8.733973503,-11.25423241,-6.732232094,6.9075284,0.310839683,0.3559964,0.413252324,0.391185701,0.439837694,0.302245319,0.295605987,0.260610789,0.243280411,0.337894887,0.349004447,0.356854886,1
73.41923426,0.3730551,3403.412799,3360.048554,0.002138314,0.086680684,1644.514285,2.09730096,5.545259953,-24.75220299,120.9131088,-58.72801208,72.54711151,-5.32007122,39.74638367,-7.87940836,26.21432304,-2.332732439,9.177371979,3.248068571,-0.054465804,1.186736941,0.582387745,0.732619166,0.61116147,0.488974452,0.438509196,0.450354189,0.483248621,0.421971798,0.514258921,0.506749511,0.446374267,0.489795059,0
91.07456668,0.188551798,1976.965316,2762.954911,0.000975108,0.036342943,485.1659601,-14.85302216,5.085087776,-128.4552765,178.4992676,-30.80551338,28.37757492,-13.6259203,9.737482071,-9.485280037,-3.76630187,-5.201715946,-2.803981304,-6.729488373,-1.942329645,-3.550272703,0.741541743,0.594494164,0.495464683,0.424944252,0.349665135,0.358685583,0.332543671,0.293910265,0.292582124,0.331396073,0.469796181,0.646006703,0
186.6505487,0.452172518,3327.655379,2784.364387,0.005527612,0.105493674,1147.047103,-0.037248521,5.675997734,10.62437725,125.2481155,-101.5238647,12.19928265,-25.59732628,-2.474492073,1.251648664,0.87908709,-10.03295231,3.252606869,-11.30636215,7.15756321,0.380494237,0.351361275,0.357795566,0.369813383,0.407713532,0.423911244,0.412164211,0.481819421,0.569194317,0.561562002,0.477830291,0.395036817,0.37157926,0
372.6949271,0.007005972,4606.437212,2901.783895,0.139586002,0.133336468,636.5833153,-102.4232568,5.019327164,-678.8191528,110.8801422,-59.55207825,-72.40209198,13.84910488,31.81559563,-12.43502998,-24.41192818,-13.92332268,-29.3865242,-41.99438858,-17.27552795,9.359843254,0.479432672,0.351278782,0.309549272,0.436221421,0.730405569,0.764249802,0.538158655,0.267871588,0.253041834,0.294229746,0.309170455,0.344360143,0
840.6885982,0.077884853,1962.587281,1065.997698,0.000635136,0.080539783,1256.503339,6.615846236,2.72022748,-522.0175171,68.76163483,-16.57657623,-11.18756104,4.329739571,-4.418089867,-18.2498455,-11.81571102,-2.669689178,-3.133870125,-2.472051859,2.830247164,4.061626434,0.19327344,0.194840297,0.181562543,0.207332537,0.240789428,0.240433171,0.236854151,0.230108872,0.234063402,0.193370149,0.154831856,0.162844598,0
115.7756203,0.19695349,2874.917981,2464.079813,7.21E-05,0.092749647,920.3020831,-10.72205908,5.545783043,-90.1937027,170.3868561,-101.3296738,39.20131302,-43.71641159,-6.912419796,2.548970699,-25.61994743,15.48028946,-20.77737617,2.575586081,-4.81160593,-15.95724297,0.510118663,0.582274437,0.556157053,0.444856584,0.409285754,0.369139045,0.337093711,0.343049824,0.37447837,0.439454138,0.494489104,0.5132249,0
73.59352337,0.011571348,5342.695558,4106.369005,0.009885445,0.168458164,1280.740691,-171.5295626,6.181974888,-369.3551331,82.1092453,-46.46611404,50.24144363,-25.84447098,31.36206245,-26.35601425,14.53882027,-18.41956902,9.906658173,-6.387876511,1.793865323,-2.099538326,0.576268613,0.612841129,0.736141264,0.665409327,0.548309267,0.524494529,0.574732661,0.557264209,0.561606526,0.601078331,0.578347504,0.568172634,0
0,0.102291495,4304.998292,2853.254402,0.000158169,0.189036217,961.7600439,-4.847810481,5.925938606,-150.1460724,160.0859528,-161.072998,66.96929932,-77.04322815,-3.80103159,-7.68073988,-47.22133636,19.68870544,-44.51885223,4.475169659,-10.14202309,-18.73330498,0.751265526,0.762356102,0.739772856,0.661489606,0.572629809,0.55697906,0.58108139,0.633069038,0.613552868,0.563958228,0.605196416,0.69253397,0
136.4746235,0.446995914,1458.615322,1722.045869,0.000196106,0.043036158,978.7641619,1.539760961,4.743589878,-77.56712341,220.8592987,-47.98225403,8.100727081,7.174553394,5.032406807,-4.260883808,1.362197399,-1.352237105,-4.090711594,-2.506910801,0.618573129,-3.094319344,0.383990407,0.272847384,0.333101749,0.342839003,0.279451042,0.382324755,0.382187575,0.558759868,0.447089493,0.348713487,0.465398192,0.36971128,0
